DE: Experiment,location,DE: Kamera,pointOfView,sceneId,DE: SceneID,DE: Basisszenario,DE: Links_RVA,leftOfBicycleLane,DE: Tr_li-Breite,divideLeftWidth,DE: Tr_li-Art,divideLeftCategory,DE: Tr_li-baulTrennung,divideLeftStructural,DE: Links_RVA+Tr_li-baulTrennung,leftOfBicycleLaneWithStructuralDivide,DE: RVA-Breite,bicycleLaneWidth,DE: Tr_re-Breite,divideRightWidth,DE: Tr_re-Art,divideRightCategory,DE: GW-Breite,pavementWidth,DE: GW-Geschäftsnutzung,pavementHasShows,DE: Breite RVA_nutzbar,bicycleLaneWidthUsable,DE: FS-Art,vehicleLaneUsage,DE: FS-Geschwindigkeit,vehicleLaneMaxspeed,DE: RVA-Lage,bicycleLaneLanes,DE: RVA-Oberfläche,bicycleLaneSurface,DE: Tr_li-Markierung,divideLeftMarking,DE: Tr_re-Markierung,divideRightMarking,DE: Parken,parkingCategory,DE: Seitenraum,rightOfBicycleLane,DE: Protected,divideIsPhysical,TODO: Tobias,DE: Richtungsfreigabe,todoMotorVehicleDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,motorVehicleWidth,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteSum,voteCount,voteMeans
MS,primary_road,C,bicycle,01_MS_C_1293,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"0,71%","20,00%","45,71%","33,57%","99,99%",78,"2,15"
MS,primary_road,C,bicycle,01_MS_C_1292,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,33%","11,67%","44,17%","40,83%","100,00%",72,"2,19"
MS,primary_road,C,bicycle,01_MS_C_1291,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,3,3,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,40%","11,20%","46,40%","40,00%","100,00%",73,"2,18"
MS,primary_road,C,bicycle,01_MS_C_1290,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"0,90%","15,32%","51,35%","32,43%","100,00%",68,"2,01"
MS,primary_road,C,bicycle,01_MS_C_1289,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Doppellinie,double_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,22%","16,67%","50,00%","31,11%","100,00%",48,"1,96"
MS,primary_road,C,bicycle,01_MS_C_1288,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Doppellinie,double_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,92%","13,73%","41,83%","40,52%","100,00%",87,"2,29"
MS,primary_road,C,bicycle,01_MS_C_1287,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Doppellinie,double_line,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,56%","17,95%","47,01%","32,48%","100,00%",79,"2,03"
MS,primary_road,C,bicycle,01_MS_C_1286,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,36%","14,29%","49,58%","32,77%","100,00%",69,"2,04"
MS,primary_road,C,bicycle,01_MS_C_1285,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"0,92%","11,01%","55,96%","32,11%","100,00%",72,"2,17"
MS,primary_road,C,bicycle,01_MS_C_1284,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"4,96%","14,05%","53,72%","27,27%","100,00%",72,"2,04"
MS,primary_road,C,bicycle,01_MS_C_1283,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"0,81%","17,74%","41,13%","40,32%","100,00%",76,"2,11"
