HELPER: imageUrl,DE: Experiment,INAKTIVE: location,DE: Kamera,INAKTIVE: pointOfView,DE: SceneID,sceneId,HELPER: sceneNumber,sceneIdCar,DE: Basisszenario,DE: Parken,parkingCategory,DE: Richtungsfreigabe,carriagewayDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,carriagewayWidth,carriagewayWidthNumber,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,voteCarScore,voteCar0Unsafe,voteCar1RatherUnsafe,voteCar2Save,voteCar3VerySave,voteCarCount,voteCarMeans,voteScore,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteCount,voteMeans
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_61.jpg,SE,secondary_road,C,bicycle,01_SE_C_61,SE_C_61,61,SE_A_61,4,nein,no_parking,Einbahnstraße,one_way,-,none,schmal,narrow,todo_N,normal,low_traffic_volumen,"40,00","21,52","38,48","25,76","14,24","277,00","1,34","31,26","30,02","38,72","23,81","7,45",413,"1,05"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_62.jpg,SE,secondary_road,C,bicycle,01_SE_C_62,SE_C_62,62,SE_A_62,4,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße,bicycle_road,schmal,narrow,todo_N,normal,low_traffic_volumen,"46,52","16,77","36,71","27,85","18,67","249,00","1,51","49,58","13,4","37,02","35,11","14,47",410,"1,49"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_63.jpg,SE,secondary_road,C,bicycle,01_SE_C_63,SE_C_63,63,SE_A_63,4,nein,no_parking,Einbahnstraße,one_way,Spielstraße,living_street,schmal,narrow,todo_N,normal,low_traffic_volumen,"53,70","10,80","35,49","30,86","22,84","266,00","1,63","48,33","14,48","37,19","36,75","11,58",381,"1,46"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_64.jpg,SE,secondary_road,C,bicycle,01_SE_C_64,SE_C_64,64,SE_A_64,4,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,schmal,narrow,todo_N,normal,low_traffic_volumen,"27,62","31,47","40,91","16,08","11,54","240,00","1,05","35,58","26,09","38,34","27,67","7,91",435,"1,19"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_65.jpg,SE,secondary_road,C,bicycle,01_SE_C_65,SE_C_65,65,SE_A_65,4,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße-Hollandaise,green_surface,schmal,narrow,todo_N,autofrei,no_cars,"27,19","45,95","26,86","13,27","13,92","253,00","0,95","95,15","0,84","4,01","12,03","83,12",414,"2,77"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_66.jpg,SE,secondary_road,C,bicycle,01_SE_C_66,SE_C_66,66,SE_A_66,4,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,-,none,schmal,narrow,todo_N,normal,low_traffic_volumen,"14,11","47,96","37,93","9,09","5,02","266,00","0,74","8,85","63,17","27,98","6,79","2,06",426,"0,49"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_67.jpg,SE,secondary_road,C,bicycle,01_SE_C_67,SE_C_67,67,SE_A_67,4,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße,bicycle_road,schmal,narrow,todo_N,normal,low_traffic_volumen,"20,58","38,63","40,79","11,19","9,39","216,00","0,95","17,6","41,43","40,98","13,59","4,01",390,"0,81"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_68.jpg,SE,secondary_road,C,bicycle,01_SE_C_68,SE_C_68,68,SE_A_68,4,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Spielstraße,living_street,schmal,narrow,todo_N,normal,low_traffic_volumen,"28,53","33,01","38,46","17,31","11,22","261,00","1,07","19,92","36,51","43,57","15,98","3,94",413,"0,86"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_69.jpg,SE,secondary_road,C,bicycle,01_SE_C_69,SE_C_69,69,SE_A_69,4,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,schmal,narrow,todo_N,normal,low_traffic_volumen,"15,17","57,59","27,24","7,74","7,43","262,00","0,65","10,59","52,03","37,39","8,11","2,48",380,"0,58"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_7.jpg,SE,secondary_road,C,bicycle,01_SE_C_7,SE_C_7,7,,1,nein,no_parking,beidseitig,both_directions,Fahrradstraße,bicycle_road,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"92,35","1,81","5,84","31,79","60,56",428,"2,49"
